;;;;;;;;;;2;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
REGRAS DE PREENCHIMENTO;;;;;;;;;;;;;
É importante que todas as regras sejam seguidas no momento do preenchimento da planilha para que os pagamentos sejam incluídos e efetivados:;;;;;;;;;;;;;
;;;;;;;;;;;;;
"1. Não altere o template deste arquivo. Isso inclui não adicionar ou remover linhas, colunas e abas, assim como não alterar o nome dos campos;";;;;;;;;;;;;;
"2. Para colar as informações de outra base, basta copiar os dados da planilha de origem, colar nesta planilha clicando com o botão direito do mouse selecionando  ""Opções de colagem"" e marcado a opção de colar  valores (""123"", conforme imagem abaixo); ";;;;;;;;;;;;;
"3. Insira os pagamentos a partir da linha 3;";;;;;;;;;;;;;
"4. Não deixe nenhuma linha em branco entre os pagamentos;";;;;;;;;;;;;;
"5. O preenchimento é obrigatório em todos os campos, exceto nas colunas descritas como ""opcional"";";;;;;;;;;;;;;
"6. Só é possível utilizar caracteres especiais no campo ""chave ou código Pix"";";;;;;;;;;;;;;
"7. Caso o valor não seja preenchido, o sistema entenderá como R$0,00. Os centavos que não forem mencionados, o sistema também entenderá como ,00;";;;;;;;;;;;;;
"8. Os pagamentos podem ser incluídos para a data de hoje e agendados para até 1 ano;";;;;;;;;;;;;;
9. Para datas, utilize o formato dd/mm/aaaa.;;;;;;;;;;;;;
10. Para chave celular, favor sempre usar no seguinte layout +5511912345678;;;;;;;;;;;;;
"11. O campo ""nome do recebedor"" não irá refletir no comprovante de pagamento. Apenas o que for mencionado no campo ""descrição"".";;;;;;;;;;;;;
"12. No comprovante de pagamento constarão os dados do beneficiário da chave Pix ou Conta informados, e também as informações inseridas do campo ""Descrição"".";;;;;;;;;;;;;
"13. Dicas de uso para o campo ""Descrição"": informar a descrição de ""Pagamento de Salário""// Ou informar neste campo o nome do funcionário quando a chave ou conta informada corresponder a outra pessoa.";;;;;;;;;;;;;
;;;;;;;;;;;;;
EXEMPLO - PIX CHAVE OU CÓDIGO;;;;;;;;;;;;;
DADOS DO PAGAMENTO;;;;;;;;;;;;;
Chave ou código Pix;Valor;Data de pagamento;Descrição (opcional);;;;;;;;;;
65784637898;1038,57;29/06/2025;Pagamento de salário;;;;;;;;;;
c6bank@c6bank.com;255,47;29/06/2025;Pagamento de salário;;;;;;;;;;
+5511912345678;145,12;30/06/2025;Pagamento de salário;;;;;;;;;;
;;;;;;;;;;;;;
EXEMPLO - PIX AGÊNCIA E CONTA;;;;;;;;;;;;;
DADOS DO PAGAMENTO;;;;;;;;;;;;;
Nome; CPF/CNPJ ;Banco (ISPB);Tipo de conta;Agência;Conta e dígito;Valor;Data de pagamento;Descrição (opcional);;;;;
Luiz Souza;99999999999;31872495;Conta Corrente;123;99999999;385,33;29/06/2025;Pagamento de salário;;;;;
Lucas Oliveira;11111111111;31872495;Conta Poupança;4567;11111111;4184,94;29/06/2025;Pagamento de salário;;;;;
Luiza Alves;88888888888;31872495;Conta Pagamento;1111;88888888;123,45;29/06/2025;Pagamento de salário;;;;;
;;;;;;;;;;;;;
LISTA DE ISPBs;;;;;;;;;;;;;
BANCO;ISPB;;;;;;;;;;;;
C6 Bank;31872495;;;;;;;;;;;;
Banco BMG;61186680;;;;;;;;;;;;
Banco Bradesco;60746948;;;;;;;;;;;;
Banco BRB; 00000208;;;;;;;;;;;;
Banco Caixa;360305;;;;;;;;;;;;
Banco do Brasil; 00000000;;;;;;;;;;;;
Banco Inter;416968;;;;;;;;;;;;
Banco Itaú;60701190;;;;;;;;;;;;
Banco iti;60701190;;;;;;;;;;;;
Banco Mercado Pago;10573521;;;;;;;;;;;;
Banco Nubank (Nu Pagamentos);18236120;;;;;;;;;;;;
Banco Original;92894922;;;;;;;;;;;;
Banco Pagbank (Pagseguro);8561701;;;;;;;;;;;;
Banco Santander;90400888;;;;;;;;;;;;
Banco Sicoob;2038232;;;;;;;;;;;;
Banco Sicredi;1181521;;;;;;;;;;;;
Picpay;22896431;;;;;;;;;;;;
;;;;;;;;;;;;;
